created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2021-07-09 09:01:20 -05,1,16.50,87.90,,,,
2021-07-09 10:01:19 -05,2,19.80,61.70,,,,
2021-07-10 11:01:19 -05,3,20.10,63.20,,,,
2021-07-10 12:01:19 -05,4,19.20,65.60,,,,
2021-07-10 13:01:19 -05,5,18.60,60.80,,,,
2021-07-10 14:01:19 -05,6,18.20,62.20,,,,
2021-07-10 15:01:20 -05,7,21.30,53.30,,,,
2021-07-10 16:01:20 -05,8,18.80,57.60,,,,
2021-07-10 17:01:19 -05,9,18.80,58.50,,,,
2021-08-01 10:01:17 -05,10,16.50,63.70,,,,
2021-08-01 11:01:17 -05,11,19.60,58.20,,,,
2021-08-01 12:01:17 -05,12,21.30,50.80,,,,
2021-08-01 13:01:18 -05,13,23.40,44.60,,,,
2021-08-01 14:01:17 -05,14,32.20,29.70,,,,
2021-08-01 15:01:17 -05,15,20.20,50.80,,,,
2021-08-01 16:01:17 -05,16,20.40,51.50,,,,
2021-08-01 17:01:17 -05,17,17.10,61.90,,,,
2021-08-01 18:01:17 -05,18,16.20,66.60,,,,
2021-08-02 17:00:02 -05,19,16.10,67.20,,,,
2021-08-02 17:00:19 -05,20,16.20,67.30,,,,
2021-08-02 17:00:37 -05,21,16.20,67.30,,,,
2021-08-02 17:00:55 -05,22,16.20,67.30,,,,
2021-08-02 17:15:02 -05,23,15.90,67.10,,,,
2021-08-02 17:15:19 -05,24,15.90,67.40,,,,
2021-08-02 17:15:37 -05,25,15.80,67.60,,,,
2021-08-02 17:15:55 -05,26,15.80,67.80,,,,
2021-08-02 17:30:02 -05,27,15.30,70.10,,,,
2021-08-02 17:30:19 -05,28,15.20,70.10,,,,
2021-08-02 17:30:37 -05,29,15.20,70.00,,,,
2021-08-02 17:30:55 -05,30,15.20,70.00,,,,
2021-08-23 12:59:59 -05,31,23.40,46.70,,,,
2021-08-23 13:00:17 -05,32,23.30,46.50,,,,
2021-08-23 13:00:35 -05,33,23.30,46.50,,,,
2021-08-23 13:00:50 -05,34,23.30,47.20,,,,
2021-08-23 13:14:59 -05,35,22.50,47.00,,,,
2021-08-23 13:15:17 -05,36,22.40,47.10,,,,
2021-08-23 13:15:35 -05,37,22.40,47.50,,,,
2021-08-23 13:15:53 -05,38,22.50,47.40,,,,
2021-08-23 13:29:59 -05,39,21.70,53.90,,,,
2021-08-23 13:30:17 -05,40,21.70,54.30,,,,
2021-08-23 13:30:35 -05,41,21.70,55.30,,,,
2021-08-23 13:30:53 -05,42,21.70,55.50,,,,
2021-08-23 13:44:59 -05,43,21.30,53.80,,,,
2021-08-23 13:45:17 -05,44,21.20,53.40,,,,
2021-08-23 13:45:35 -05,45,21.20,53.90,,,,
2021-08-23 13:45:53 -05,46,21.10,54.50,,,,
2021-08-23 13:59:59 -05,47,22.00,50.30,,,,
2021-08-23 14:00:17 -05,48,22.00,50.50,,,,
2021-08-23 14:00:32 -05,49,22.00,50.50,,,,
2021-08-23 14:00:50 -05,50,22.00,50.50,,,,
2021-08-23 14:14:59 -05,51,22.40,52.10,,,,
2021-08-23 14:15:17 -05,52,22.40,51.80,,,,
2021-08-23 14:15:35 -05,53,22.40,52.40,,,,
2021-08-23 14:15:50 -05,54,22.40,53.60,,,,
2021-08-23 14:29:59 -05,55,22.90,50.00,,,,
2021-08-23 14:30:17 -05,56,22.90,48.90,,,,
2021-08-23 14:30:35 -05,57,23.00,49.20,,,,
2021-08-23 14:30:53 -05,58,23.00,48.90,,,,
2021-08-23 14:44:59 -05,59,23.80,44.10,,,,
2021-08-23 14:45:17 -05,60,23.80,44.30,,,,
2021-08-23 14:45:35 -05,61,23.80,44.40,,,,
2021-08-23 14:45:53 -05,62,23.90,44.40,,,,
2021-08-23 14:59:59 -05,63,24.70,42.00,,,,
2021-08-23 15:00:17 -05,64,24.70,41.80,,,,
2021-08-23 15:00:35 -05,65,24.70,42.00,,,,
2021-08-23 15:00:53 -05,66,24.70,42.30,,,,
2021-08-23 15:14:59 -05,67,24.50,40.20,,,,
2021-08-23 15:15:17 -05,68,24.60,40.50,,,,
2021-08-23 15:15:35 -05,69,24.60,40.60,,,,
2021-08-23 15:15:53 -05,70,24.50,40.40,,,,
