created_at,entry_id,field1,field2
2021-03-23T18:01:14-05:00,1,17.5,76.2
2021-03-23T18:01:32-05:00,2,17.5,76
2021-03-23T18:01:50-05:00,3,17.4,76.1
2021-03-23T18:02:07-05:00,4,17.4,75.6
2021-03-24T12:01:29-05:00,5,32.3,36.1
2021-03-24T18:01:29-05:00,6,19.4,59.6
2021-03-25T00:01:29-05:00,7,13.8,82.2
2021-03-25T12:01:29-05:00,8,33,30
2021-03-25T18:01:29-05:00,9,23,45.3
2021-03-26T00:01:30-05:00,10,14.4,77.1
2021-03-26T06:10:29-05:00,11,14.3,82.6
2021-03-26T12:01:29-05:00,12,28.6,40.1
2021-03-26T18:01:29-05:00,13,23,45.2
2021-03-27T00:01:29-05:00,14,16.5,77.8
2021-03-27T06:10:29-05:00,15,15,85.9
2021-03-27T12:01:29-05:00,16,30.5,35.9
2021-03-27T20:01:29-05:00,17,18.7,60.7
2021-03-27T21:01:29-05:00,18,18.3,63.2
2021-03-27T22:01:29-05:00,19,17.7,66.6
2021-03-27T23:01:29-05:00,20,17.2,68.8
2021-03-28T00:01:29-05:00,21,16.9,70
2021-03-28T01:01:29-05:00,22,16.1,71.4
2021-03-28T02:01:28-05:00,23,16.2,72.9
2021-03-28T03:01:29-05:00,24,16,72.3
2021-03-28T04:01:29-05:00,25,15.7,76.9
2021-03-28T05:01:28-05:00,26,15.5,78.9
2021-03-28T06:10:29-05:00,27,15.4,79.2
2021-03-28T07:01:29-05:00,28,15.8,80.8
2021-03-28T08:01:29-05:00,29,17.9,73.3
2021-03-28T09:01:29-05:00,30,20.1,65
2021-03-28T10:01:29-05:00,31,23.8,52.5
2021-03-28T11:01:29-05:00,32,25.4,46.9
2021-03-28T12:01:29-05:00,33,27,43.4
2021-03-28T13:01:29-05:00,34,27.5,42
2021-03-28T14:01:28-05:00,35,26.5,44.2
2021-03-28T15:01:29-05:00,36,25.6,43.2
2021-03-28T16:01:29-05:00,37,27.5,40.5
2021-03-28T17:01:29-05:00,38,22.8,50.4
2021-03-28T18:01:29-05:00,39,19.9,57.8
2021-03-28T19:01:29-05:00,40,18.1,65.6
2021-03-28T20:01:29-05:00,41,17.5,67
2021-03-28T21:01:29-05:00,42,16.9,69.5
2021-03-28T22:01:29-05:00,43,16.6,70.4
2021-03-28T23:01:29-05:00,44,16.5,70.8
2021-03-29T00:01:29-05:00,45,16.3,74
2021-03-29T01:01:29-05:00,46,15.7,76.6
2021-03-29T02:01:28-05:00,47,15.5,76
2021-03-29T03:01:29-05:00,48,15.2,77.2
2021-03-29T04:01:29-05:00,49,15,76.3
2021-03-29T05:01:29-05:00,50,15,75.5
2021-03-29T06:10:29-05:00,51,15.2,75.9
2021-03-29T07:01:28-05:00,52,15.6,75.5
2021-03-29T08:01:29-05:00,53,17.1,71.6
2021-03-29T09:01:28-05:00,54,18.8,66.4
2021-03-29T10:01:29-05:00,55,22.9,57.9
2021-03-29T11:01:29-05:00,56,26.4,48.6
2021-03-29T12:01:28-05:00,57,24.9,50.3
2021-03-29T13:01:28-05:00,58,24.1,48.7
2021-03-29T14:01:28-05:00,59,21.7,54.5
2021-03-29T15:01:29-05:00,60,22.4,55.8
2021-03-29T16:01:29-05:00,61,24.8,47.2
2021-03-29T17:01:29-05:00,62,23.7,47.9
2021-03-29T18:01:29-05:00,63,19.2,55.9
2021-03-29T19:01:28-05:00,64,17.3,61.4
2021-03-29T20:01:29-05:00,65,16.7,65.5
2021-03-29T21:01:29-05:00,66,16.2,68.6
2021-03-29T22:01:29-05:00,67,16.1,72.1
2021-03-29T23:01:29-05:00,68,15.8,75.1
2021-03-30T00:01:29-05:00,69,15.6,79.3
2021-03-30T01:01:28-05:00,70,15.3,81.6
2021-03-30T02:01:29-05:00,71,15,80.7
2021-03-30T03:01:28-05:00,72,14.9,80
2021-03-30T04:01:29-05:00,73,14.8,79.5
2021-03-30T05:01:29-05:00,74,14.7,78.8
2021-03-30T06:10:29-05:00,75,14.6,79.6
2021-03-30T07:01:29-05:00,76,14.9,79.4
2021-03-30T08:01:28-05:00,77,17.4,72.1
2021-03-30T09:01:36-05:00,78,19,67
2021-03-30T10:01:29-05:00,79,21,57.6
2021-03-30T11:01:28-05:00,80,25.5,50.7
2021-03-30T12:01:29-05:00,81,30.1,37.7
2021-03-30T13:01:29-05:00,82,25.9,41.8
2021-03-30T14:01:29-05:00,83,23.1,46.3
2021-03-30T15:01:29-05:00,84,22.5,46.2
2021-03-30T16:01:29-05:00,85,20.8,50.8
2021-03-30T17:01:29-05:00,86,21,50.2
2021-03-30T18:01:29-05:00,87,19.3,54.4
2021-03-30T19:01:28-05:00,88,16.5,61.7
2021-03-30T20:01:29-05:00,89,14.9,65.3
2021-03-30T21:01:29-05:00,90,13.6,70.5
2021-03-30T22:01:28-05:00,91,12.9,73.5
2021-03-30T23:01:29-05:00,92,13.7,74.4
2021-03-31T00:01:29-05:00,93,14.1,73
2021-03-31T01:01:29-05:00,94,14.5,73.4
2021-03-31T03:01:28-05:00,95,14.5,74.4
2021-03-31T04:01:28-05:00,96,14.3,76.2
2021-03-31T05:01:29-05:00,97,14,80.9
2021-03-31T06:10:28-05:00,98,13.9,81.4
2021-03-31T08:01:28-05:00,99,17.8,69.6
2021-03-31T09:01:29-05:00,100,22,57.4
2021-03-31T10:01:29-05:00,101,24.6,50.8
2021-03-31T11:01:29-05:00,102,27.1,43.8
2021-03-31T12:01:29-05:00,103,27.3,40.6
2021-03-31T13:01:28-05:00,104,27,41.4
2021-03-31T14:01:28-05:00,105,27.6,40.4
2021-03-31T15:01:28-05:00,106,23.3,53.3
2021-03-31T16:01:28-05:00,107,22.4,53.3
2021-03-31T17:01:29-05:00,108,20.9,57.1
2021-03-31T18:01:29-05:00,109,19.7,57.8
2021-03-31T19:01:29-05:00,110,17.8,64.7
2021-03-31T20:01:29-05:00,111,17.1,68.1
2021-03-31T21:01:29-05:00,112,16.7,68.3
2021-03-31T22:01:29-05:00,113,16.4,69
2021-03-31T23:01:28-05:00,114,15.9,69.3
2021-04-01T00:01:29-05:00,115,15.6,74
